Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre09.g416100	DnaJ-like protein; probably cytosolic; similar to rice Q8S0V9, Xenopus Q7ZXQ8, and Arabidopsis Q9M2L3; contain J-domain (pfam00226) in the middle of the protein	
Cre09.g416150	Mitochondrial ATP synthase associated protein 7; unknown evolutionary origin; previously identified as NUOP6, a component of complex I, but now known to belong to complex V [PMID: 15450959, PMID: 15710684, PMID: 11744727]	
Cre09.g416200	PsbB mRNA maturation and stabilization factor Mbb1, chloroplast precursor [PMID: 11121080]; involved in pre-mRNA splicing	
Cre09.g416550	Novel coiled-coil flagellar protein corresponding to the genetically defined MBO2 locus. mbo2 (move backward only) mutants are defective in the production of the ciliary waveform.	
Cre09.g416750	T-complex protein 1, beta subunit (TCP-1-beta) (CCT-beta) (TCPB); subunit of cytosolic chaperonin complex	
Cre09.g416950	Dual-specificity protein phosphatase, may be an actin depolymerizing enzyme.  Previously annotated as MKP1	
Cre09.g417150	Mono-functional, haem-containing catalase (EC:1.11.1.6) involved in detoxification of H2O2; located in the mitochondrion, according to proteomic survey, but lacks a targeting peptide; has been found to be reduced and inhibited by thioredoxin (PMID: 151238	
Cre09.g417250	Seems to belong to the family of exostosin-like glycosyltransferases	
Cre10.g417500	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID:15047905]; contains an unusual N-terminal domain with signature of nuclear movement protein NudC (pfam03593)/alpha-crystallin/HSP20 (p23 co-chaperone of HSP90, cd00237)	
Cre10.g417550	Possibly a ClpS homologue (sensu viridiplantae); has similarity to N-terminal domain of bacterial HSP100 chaperones; associated with ClpP complex; chloroplastic (TargetP score 0.894)	
Cre10.g417700	Cytosolic 80S ribosomal protein L3; Cytosolic 60S large ribosomal subunit protein L3	
Cre10.g418100	(PSA4) 20S proteasome alpha subunit C (type 4)	
Cre10.g418150	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre10.g418150	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre10.g418250	Basal body protein localized to the cartwheel structure at the proximal end. Null mutants at this locus have no basal bodies or flagella.  Putative prefoldin.	
Cre10.g418600	Member of a family of proteins [PMID: 16720695, 16622701] related to Volvox carteri RegA, which is a putative transcription repressor [PMID: 9895312] containing a SAND domain (IPR000770 SAND; PF01342).	
Cre10.g418950	Kinesin motor protein, kinesin-4/10 family, a combined family of standard kinesin-4 and kinesin-10 families (PMID: 16481395).  Previously annotated as IAR1 for InvA related kinesin	
Cre10.g418950	Kinesin motor protein, kinesin-4/10 family, a combined family of standard kinesin-4 and kinesin-10 families (PMID: 16481395).  Previously annotated as IAR1 for InvA related kinesin	
Cre10.g419050	Alpha subunit of the mitochondrial ATP synthase [= human ATP5A1, yeast ATP1]; part of the F1 sector; isoform of ATP1A	
Cre10.g419050	Alpha subunit of the mitochondrial ATP synthase [= human ATP5A1, yeast ATP1]; part of the F1 sector; isoform of ATP1A	
Cre10.g419700	Protein of unknown function, some similarity to protein of unknown function in Arabidopsis NP_196757.2 GI:22326741	
Cre10.g419750	DNA-directed RNA polymerase II, 36 kDa polypeptide	
Cre10.g419800	Phosphatidylinositol synthase, condenses CDP-DAG with I-3-P	
Cre10.g420100	DnaJ-like protein, probably cytosolic since it contains no N-terminal extension and homologs in Arabidopsis (Q9SR91), tobacco (Q9SP09), and rice (Q688X8) are predicted by TargetP to be cytosolic; contains N-terminal J-domain (pfam00226) and DnaJ C termina	
Cre10.g420350	Photosystem I reaction center subunit IV, chloroplast precursor (PSI-E) (Photosystem I 8.1 kDa protein) [PMID: 2693938]	
Cre10.g420700	F1F0-ATP synthase epsilon chain, polypeptide of 8.3 kDa, mitochondrial precursor; [=yeast ATP15, human ATP5E]; part of the F1 sector	
Cre10.g420750	Cytosolic 80S ribosomal protein L30; Cytosolic 60S large ribosomal subunit protein L30	
Cre10.g420800	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]	
Cre10.g421250	Hypothetical Conserved Protein. Similar to Exo70, a subunit of the exocyst complex	
Cre10.g421700	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone-3-phosphate reductase	
Cre10.g421750	Conserved expressed protein of unknown function	
Cre10.g421750	Conserved expressed protein of unknown function	
Cre10.g421900	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)	
Cre10.g421950	Protein with unknown function, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	
Cre10.g421950	Protein with unknown function, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	
Cre10.g422000	tRNA (guanine-N2)-methyltransferase.  Previously annotated as TRM1	
Cre10.g422300	Peroxiredoxin Q, chloroplastic thioredoxin dependent peroxidase, chloroplast precursor. Attached to thylakoids in Arabidopsis [PMID: 16507087; PMID: 15531707; PMID: 14976238; PMID: 12529539; PMID: 15890615]	
Cre10.g422600	Mitochondrial NADH:ubiquinone oxidoreductase (Complex I) 51 kD subunit, mitochondrial. =NDUFV1. Chain F. gi|34328784|gb|AAQ63696.1| [PMID: 15710684; PMID: 15450959]	
Cre10.g422750	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	
Cre10.g423250	NAD-dependent malate dehydrogenase [EC:1.1.1.37]; putative glyoxysomal localization; [PMID: 19214701].  Note that Genbank entry U42979 uses �MDH2� but that refers to the model named �MDH1� and not this model.  UniProt also lists MDH1 and MDH2 as synonyms,	
Cre10.g423500	Heme oxygenase; HMOX; HO; Catalyzes the degradation of heme to bilirubin, it is essential for recycling of iron from heme. Heme is used as a substrate and cofactor for its own degradation to biliverdin, iron, and carbon monoxide; Involved in the synthesis	
Cre10.g423650	Chloroplast ribosomal protein L11, imported to chloroplast; Chloroplast large ribosomal subunit protein L11	
Cre10.g423750	Similar to yeast hexaprenyldihydroxybenzoate methyltransferase (GI:92090588), involved in Coenzyme Q biosynthesis	
Cre10.g423850	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912) proteins.	
Cre10.g423850	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912) proteins.	
Cre10.g424100	Inorganic pyrophosphatase, identical to GI:14571671=CAC42762 (ppaI); probably chloroplastic (by homology to At5g09650)	
Cre10.g424250	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG13 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre10.g424400	20S proteasome beta subunit B, type beta 2; (PSMB7) (PSMB10) (PUP1), trypsin-like activity.  Previously annotated as PBB1	
Cre10.g424450	Expressed protein. Mitochondrial import receptor subunit TOM40 (Translocase of outer membrane 40 kDa).	
Cre10.g424750	Pyruvate phosphate dikinase (PPDK) (EC 2.7.9.1); Pyruvate orthophosphate dikinase (PODK); Target-P predicts no organelle targeting sequence; similar to PPDK from Phytophthora (GenBank AAK74150)	
Cre10.g424850	U4/U6 small nuclear ribonucleoprotein; similar to PRP31.  Previously annotated as SPL5	
Cre10.g425800	Mitochondrial oligoribonuclease.  Putative homolog of bacterial oligoribonuclease (Orn)	
Cre10.g426000	Urm1 (Ubiquitin-Related Modifier1) The Urm1 fold, like those of two closely related proteins MoaD (molybdopterin synthase) and ThiS (sulfur carrier protein), is similar to that of ubiquitin although there is little or no sequence similarity; cd01764	
Cre10.g426050	Serine peptidase of the S41 family; homologous to C-terminal processing peptidase, D1 processing peptidase; contains a PDZ domain.  Previously annotated as TSP1, but this conflicts with the series of proline tRNA-synthetases	
Cre10.g426200	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Alsoc contains a carbohydrate/purine kinase, PfkB, conse	
Cre10.g426600	Cytochrome P450, CYP213 superfamily.  The CYP85 clan families CYP85 and CYP90 make brassinosteroid. in higher plants. The CYP737-740 families in Chlamydomonas may metabolize sterols.  Previously annotated as CYP739A6	
Cre10.g426700	Cytochrome P450, CYP197 superfamily, CYP197B family.  The CYP85 clan families CYP85 and CYP90 make brassinosteroids in higher plants. The CYP737-740 families in Chlamydomonas may metabolize sterols.  Previously annotated as CYP739A4	
Cre10.g426750	Cytochrome P450, CYP120 superfamily. The CYP85 clan families CYP85 and CYP90 make brassinosteroids in higher plants. The CYP737-740 families in Chlamydomonas may metabolize sterols.  Previously annotated as CYP739A5	
Cre10.g426950	Cytochrome P450, CYP213 superfamily. The CYP85 clan families CYP85 and CYP90 make brassinosteroids in higher plants. The CYP737-740 families in Chlamydomonas may metabolize sterols739A3	
Cre10.g427000	Putative mTERF domain containing protein; possibly a mitochondrial transcription termination factor	
Cre10.g427050	Similar to bacterial MRP proteins. Predicted mitochondrial localization. MNP = MRP/NBP35-like P-loop NTPase	
Cre10.g427250	Actin-binding protein; localizes to cell body and flagella [PMID: 11739661]; (PRF1)	
Cre10.g427300	Radial spoke protein 2 (RSP2). Originally identified as PF24 locus [PMID: 16507594; PMID: 7204490; PMID: 14871938; GI:37528882]	
Cre10.g427500	Cytochrome P450, CYP197 superfamily. The CYP85 clan families CYP85 and CYP90 make brassinosteroids in higher plants. The CYP737-740 families in Chlamydomonas may metabolize sterols.  Previously annotated as CYP739A1	
Cre10.g427600	Microtubule-severing protein katanin, p60 (catalytic) subunit. Genbank accession AF205377; PMID: 10401578	
Cre10.g428400	RNA Pseudouridine synthase, putative, possibly targeted to the mitochondria. Also contains a motif RluA found on 23S RNA-specific pseudouridine synthase.	
Cre10.g428678	tRNA uridine 5-carboxymethylaminomethyl modification enzyme, glucose-inhibited division protein Am oxidoreductase motifs	tRNA uridine 5-carboxymethylaminomethyl modification enzyme, glucose-inhibited division protein Am oxidoreductase motifs
Cre10.g428900	Putative ribosomal RNA methyltransferase of the  RrmJ/FtsJ family; conserved expressed protein with hemolysin motif and RNA methyltransferase motif.  Previously annotated as CGL72	
Cre10.g429150	Anthranilate phosphoribosyltransferase	
Cre10.g429800	70 kDa protein similar to yeast COQ8 protein involved in ubiquinone-10 biosynthesis (PMID: 11279158).  Previously called ABC1 (for Activity of bc1 complex) (PMID: 14695938); similar to At4g01660 gene product (PMID: 15710684)	
Cre10.g430100	Belongs to the family of exostosin-like glycosyltransferases	
Cre10.g430200	Protein similar to periplasmic arylsulfatase	
Cre10.g430200	Protein similar to periplasmic arylsulfatase	
Cre10.g430250	Belongs to the family of exostosin-like glycosyltransferases	
Cre10.g430400	Cytosolic 80S ribosomal protein L37; Cytosolic 60S large ribosomal subunit protein L37	
Cre10.g431050	Speract/scavenger receptor cysteine-rich (SRCR) family protein, transmembrane glycoprotein	
Cre10.g431050	Speract/scavenger receptor cysteine-rich (SRCR) family protein, transmembrane glycoprotein	
Cre10.g431150	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802].  Matsuo et al.'s (2008) roc22 (rhythm of chloroplast) circadian rhythm mutant locus maps here; this mutant leads to a low-amplitude rhythm phenotype	
Cre10.g431250	Probable domain of larger protein similar to guanylate cyclase beta-2 chain from Bos taurus XP_587526.2	
Cre10.g431400	Nuclear RNase Z-like protein.  Sequence similarity with Arabidopsis TRZ1, a nuclear tRNase Z, beta-lactamase family	
Cre10.g431800	Similar to arylsulfatase from Volvox and Chlamydomonas	
Cre10.g432000	Homologous to eukaryotic UV-DDB1(UV-damaged DNA binding complex subunit 1 protein); Nucleus	
Cre10.g432050	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre10.g432050	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre10.g432550	Voltage-dependent 1-domain potassium channel (Shaker-like), alpha subunit; P-loop contains conserved motif for K+ selectivity	
Cre10.g432700	U6 snRNA-associated Sm-like small nuclear riboprotein LSm10 (LSm2-like)	
Cre10.g432800	Cytosolic 80S ribosomal protein Sa; Cytosolic 40S small ribosomal subunit protein Sa	
Cre10.g432850	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG1 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre10.g433050	Expressed Protein. Similar to Arabidopsis DRP5B (formerly ARC5), a dynamin GTP-ase involved in plastid division.  Previously annotated as DRP5B	
Cre10.g433200	Xanthine/uracil/vitamin C permease-like.  Two previous gene models UAPA3 and UAPA4 have been combined into this single gene model	
Cre10.g433250	Xanthine/uracil/vitamin C permease-like	
Cre10.g433750	Nuclear poly(A) polymerase	
Cre10.g434350	CTR type copper ion transporter; fits the pattern for TM2 and TM3: MxxxM-X13-GxxxG per Vinzenz Unger. Characterized by Page et al. 2009 [PMID: 19318609].	
Cre10.g434400	Protein associated with one of the central pair of microtubules of the flagellar axoneme	
Cre10.g434450	Putative NADH:ubiquinone oxidoreductase (Complex I) 39 kDa subunit precursor, mitochondrial [gi|33943527|gb|AAQ55458.1|, =NDUFA9; PMID:15710684; PMID:15450959].  This is an NAD dependent epimerase/dehydratase family protein (see NED series)	
Cre10.g434600	Flagellar Associated Protein with cation channel domain, found in the flagellar proteome [PMID: 15998802]	
Cre10.g434650	Copper transport related; high similarity to CTR type copper ion transporter CTR2 (q.v.), of which it is a close neighbour in the genome (33.5 kb away); has the motif MxxxM-X13-GxxxG per Vinzenz Unger, but appears to lack TM2 and TM3; appears to have clea	
