Gene ID	description
Bathy09g04220	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy09g04230	DNA-directed RNA polymerase III subunit RPC10
Bathy09g04240	predicted protein
Bathy09g04250	predicted protein
Bathy09g04260	unknown protein
Bathy09g04270	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
Bathy09g04280	delta(14)-sterol reductase
Bathy09g04290	predicted protein
Bathy09g04300	unknown protein
Bathy09g04310	predicted protein
Bathy09g04320	predicted protein
Bathy09g04330	unknown protein
Bathy09g04340	predicted protein
Bathy09g04350	unknown protein
Bathy09g04360	predicted protein
Bathy09g04370	predicted protein
Bathy09g04380	YtbE (Aldo/keto reductase YtbE)
Bathy09g04390	predicted protein
Bathy09g04400	predicted protein
Bathy09g04410	predicted protein
Bathy09g04420	general stress response phosphoprotein phosphatase Psr1/2, putative
Bathy09g04430	TIM-barrel protein, nifR3 family
Bathy09g04440	predicted protein
Bathy09g04450	unknown protein
Bathy09g04460	predicted protein
Bathy09g04470	predicted protein
Bathy09g04480	PREDICTED: pleckstrin homology domain-containing family M member 1-like
Bathy09g04490	CMP-sialic acid transporter
Bathy09g04500	phosphoenolpyruvate carboxylase
Bathy09g04510	argininosuccinate lyase
Bathy09g04520	predicted protein
Bathy09g04530	chaperonin GroEL
Bathy09g04540	hypothetical protein
Bathy09g04550	mitochondrial carrier family
Bathy09g04560	predicted protein
Bathy09g04570	unknown protein
Bathy09g04580	predicted protein
Bathy09g04590	cysteine synthase
Bathy09g04600	oligoendopeptidase F
Bathy09g04610	predicted protein
Bathy09g04620	30S ribosomal protein S16
Bathy09g04630	predicted protein
Bathy09g04640	retinal pigment epithelial membrane protein
Bathy09g04650	predicted protein
Bathy09g04660	predicted protein
Bathy09g04670	predicted protein
Bathy09g04680	predicted protein
Bathy09g04690	predicted protein
Bathy09g04700	exosome component 10
Bathy09g04710	predicted protein
Bathy09g04720	predicted protein
Bathy10g00010	cytochrome oxidase biogenesis family
Bathy10g00020	unknown protein
Bathy10g00030	predicted protein
Bathy10g00040	unknown protein
Bathy10g00050	predicted protein
Bathy10g00060	phenazine biosynthesis protein PhzF family
Bathy10g00070	predicted protein
Bathy10g00080	predicted protein
Bathy10g00090	predicted protein
Bathy10g00100	predicted protein
Bathy10g00110	DNA polymerase lambda
Bathy10g00120	unknown protein
Bathy10g00130	predicted protein
Bathy10g00140	ubiquitous surface protein A1 UspA1
Bathy10g00150	predicted protein
Bathy10g00160	predicted protein
Bathy10g00170	predicted protein
Bathy10g00180	predicted protein
Bathy10g00190	predicted protein
Bathy10g00200	predicted protein
Bathy10g00210	unknown
Bathy10g00220	predicted protein
Bathy10g00230	predicted protein
Bathy10g00240	predicted protein
Bathy10g00250	ribonuclease II
Bathy10g00260	predicted protein
Bathy10g00270	unknown protein
Bathy10g00280	predicted protein
Bathy10g00290	unknown protein
Bathy10g00300	molybdenum cofactor synthesis domain protein
Bathy10g00310	predicted protein
Bathy10g00320	predicted protein
Bathy10g00330	predicted protein
Bathy10g00340	predicted protein
Bathy10g00350	predicted protein
Bathy10g00360	unknown protein
Bathy10g00370	clathrin interactor 1
Bathy10g00380	unknown protein
Bathy10g00390	predicted protein
Bathy10g00400	ATPase associated with various cellular activities AAA_5
Bathy10g00410	unknown protein
Bathy10g00420	unknown protein
Bathy10g00430	predicted protein
Bathy10g00440	Qc-SNARE, SYP6/Tlg1p/Syntaxin 6 family
Bathy10g00450	predicted protein
Bathy10g00460	unknown protein
Bathy10g00470	predicted protein
Bathy10g00480	predicted protein
Bathy10g00490	predicted protein
Bathy10g00500	predicted protein
Bathy10g00510	predicted protein
Bathy10g00520	predicted protein
Bathy10g00530	predicted protein
Bathy10g00540	predicted protein
Bathy10g00550	predicted protein
Bathy10g00560	predicted protein
Bathy10g00570	predicted protein
Bathy10g00580	predicted protein
Bathy10g00590	ubiquitin-conjugating enzyme
Bathy10g00600	ubiquitin carboxyl-terminal hydrolase isozyme L3
Bathy10g00610	predicted protein
Bathy10g00620	predicted protein
Bathy10g00630	predicted protein
Bathy10g00640	heat shock protein 70
Bathy10g00650	predicted protein
Bathy10g00660	predicted protein
Bathy10g00670	predicted protein
Bathy10g00680	predicted protein
Bathy10g00690	unknown protein
Bathy10g00700	hypothetical protein
Bathy10g00710	predicted protein
Bathy10g00720	unknown protein
Bathy10g00730	unknown protein
Bathy10g00740	predicted protein
Bathy10g00750	predicted protein
Bathy10g00760	chloride Carrier/Channel family
Bathy10g00770	allantoate amidohydrolase
Bathy10g00780	pyruvate phosphate dikinase
Bathy10g00790	predicted protein
Bathy10g00800	mitochondrial carrier family
Bathy10g00810	impact family protein
Bathy10g00820	unknown protein
Bathy10g00830	enoyl-CoA hydratase
Bathy10g00840	unknown protein
Bathy10g00850	succinate-semialdehyde dehydrogenase
Bathy10g00860	histone acetyltransferase ESA1
Bathy10g00870	Ion transport protein
Bathy10g00880	predicted protein
Bathy10g00890	U5 small nuclear ribonucleoprotein 40 kDa protein
Bathy10g00900	predicted protein
Bathy10g00910	cysteine desulfurase
Bathy10g00920	predicted protein
Bathy10g00930	bifunctional aspartokinase I/homeserine dehydrogenase I
Bathy10g00940	unknown protein
Bathy10g00950	thioesterase
Bathy10g00960	predicted protein
Bathy10g00970	predicted protein
Bathy10g00980	HesA/MoeB/ThiF family protein
Bathy10g00990	predicted protein
Bathy10g01000	predicted protein
Bathy10g01010	predicted protein
Bathy10g01020	unknown protein
Bathy10g01030	DNA repair and recombination protein RAD54
Bathy10g01040	predicted protein
Bathy10g01050	unnamed protein product
Bathy10g01060	predicted protein
Bathy10g01070	unknown protein
Bathy10g01080	predicted protein
Bathy10g01090	glycosyl transferase family 2
Bathy10g01100	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy10g01110	predicted protein
Bathy10g01120	predicted protein
Bathy10g01130	predicted protein
Bathy10g01140	unknown protein
Bathy10g01150	predicted protein
Bathy10g01160	predicted protein
Bathy10g01170	stomatin-like protein
Bathy10g01180	predicted protein
Bathy10g01190	predicted protein
Bathy10g01200	predicted protein
Bathy10g01210	OJ1442_E05.26 gene product (ISS)
Bathy10g01220	predicted protein
Bathy10g01230	predicted protein
Bathy10g01240	unknown protein
Bathy10g01250	predicted protein
Bathy10g01260	unknown protein
Bathy10g01270	unknown protein
Bathy10g01280	unknown protein
Bathy10g01290	Phospholipid:diacylglycerol acyltransferase
Bathy10g01300	putative ABC transporter ATP-binding protein
Bathy10g01310	unknown
Bathy10g01320	predicted protein
Bathy10g01330	predicted protein
Bathy10g01340	unnamed protein product
Bathy10g01350	predicted protein
Bathy10g01360	predicted protein
Bathy10g01370	predicted protein
Bathy10g01380	predicted protein
Bathy10g01390	unknown protein
Bathy10g01400	predicted protein
Bathy10g01410	malonyl CoA-acyl carrier protein transacylase
Bathy10g01420	nitrogen-fixing NifU domain protein
Bathy10g01430	ATP-dependent DNA helicase RecG
Bathy10g01440	unknown protein
Bathy10g01450	unnamed protein product
Bathy10g01460	kinesin K39
Bathy10g01470	adenylylsulfate kinase
Bathy10g01480	predicted protein
Bathy10g01490	predicted protein
Bathy10g01500	putative ligase
Bathy10g01510	predicted protein
Bathy10g01520	predicted protein
Bathy10g01530	unnamed protein product
Bathy10g01540	sulfate permease family protein
Bathy10g01550	DNA-3-methyladenine glycosylase I
Bathy10g01560	predicted protein
Bathy10g01570	predicted protein
Bathy10g01580	ATP-dependent Clp protease, proteolytic subunit ClpP
Bathy10g01590	predicted protein
Bathy10g01600	unknown protein
Bathy10g01610	ATP-dependent RNA helicase DOB1
Bathy10g01620	unknown protein
Bathy10g01630	predicted protein
Bathy10g01640	predicted protein
Bathy10g01650	unknown protein
Bathy10g01660	cell division protein FtsH2
Bathy10g01670	predicted protein
Bathy10g01680	predicted protein
Bathy10g01690	unnamed protein product
Bathy10g01700	ATP-dependent helicase NAM7
Bathy10g01710	PREDICTED: similar to predicted protein
Bathy10g01720	unnamed protein product
Bathy10g01730	predicted protein
Bathy10g01740	unnamed protein product
Bathy10g01750	predicted protein
Bathy10g01760	class II aldolase/adducin family protein
Bathy10g01770	Fmu (Sun) domain-containing protein
Bathy10g01780	predicted protein
Bathy10g01790	unknown protein
Bathy10g01800	predicted protein
Bathy10g01810	dihydroneopterin aldolase
Bathy10g01820	predicted protein
Bathy10g01830	plant synaptotagmin
Bathy10g01840	predicted protein
Bathy10g01850	PREDICTED: similar to predicted protein
Bathy10g01860	pantoate--beta-alanine ligase
Bathy10g01870	predicted protein
Bathy10g01880	S-adenosyl-L-homocysteine hydrolase
Bathy10g01890	unknown protein
Bathy10g01900	DNA methyltransferase
Bathy10g01910	cystathionine beta-lyase
Bathy10g01920	unknown protein
Bathy10g01930	co-chaperone HscB
Bathy10g01940	molybdenum cofactor sulfurase
Bathy10g01950	predicted protein
Bathy10g01960	unknown protein
Bathy10g01970	40S ribosomal protein S9
Bathy10g01980	predicted protein
Bathy10g01990	predicted protein
Bathy10g02000	predicted protein
Bathy10g02010	predicted protein
Bathy10g02020	DUF250 domain membrane protein
Bathy10g02030	unknown protein
Bathy10g02040	predicted protein
Bathy10g02050	unknown protein
Bathy10g02060	unknown protein
Bathy10g02070	unknown protein
Bathy10g02080	unknown protein
Bathy10g02090	predicted protein
Bathy10g02100	unknown protein
Bathy10g02110	unknown protein
Bathy10g02120	hypothetical protein
Bathy10g02130	unknown protein
Bathy10g02140	predicted protein
Bathy10g02150	predicted protein
Bathy10g02160	GCN5-related N-acetyltransferase
Bathy10g02170	hypothetical protein
Bathy10g02180	predicted protein
Bathy10g02190	predicted protein
Bathy10g02200	adenylate kinase
Bathy10g02210	unnamed protein product
Bathy10g02220	putative zinc finger protein ZF1 (ISS)
Bathy10g02230	predicted protein
Bathy10g02240	26S protease regulatory subunit 6B
Bathy10g02250	conserved hypothetical protein
Bathy10g02260	predicted protein
Bathy10g02270	predicted protein
Bathy10g02280	hypothetical protein
Bathy10g02290	pseudouridine synthase
Bathy10g02300	syntaxin 8
Bathy10g02310	predicted protein
Bathy10g02320	unknown protein
Bathy10g02330	predicted protein
Bathy10g02340	predicted protein
Bathy10g02350	multi-sensor hybrid histidine kinase
Bathy10g02360	unknown protein
Bathy10g02370	unknown protein
Bathy10g02380	predicted protein
Bathy10g02390	26S proteasome non-ATPase regulatory subunit 6
Bathy10g02400	NAD-dependent deacetylase sirtuin-2
Bathy10g02410	predicted protein
Bathy10g02420	unknown protein
Bathy10g02430	chromosome segregation protein sudA
Bathy10g02440	predicted protein
Bathy10g02450	unknown protein
Bathy10g02460	autoinhibited calcium ATPase
Bathy10g02470	unknown protein
Bathy10g02480	predicted protein
Bathy10g02490	predicted protein
Bathy10g02500	hypothetical protein
Bathy10g02510	predicted protein
Bathy10g02520	unknown protein
Bathy10g02530	unknown protein
Bathy10g02540	predicted protein
Bathy10g02550	phosphatidylinositol-phosphatidylcholine transfer protein
Bathy10g02560	predicted protein
Bathy10g02570	unknown protein
Bathy10g02580	predicted protein
Bathy10g02590	unknown protein
Bathy10g02600	putative apolipoprotein A-I binding protein
Bathy10g02610	unknown protein
Bathy10g02620	predicted protein
Bathy10g02630	unknown protein
Bathy10g02640	glutamine-dependent NAD synthase
Bathy10g02650	SNF2 super family
Bathy10g02660	hypothetical protein
Bathy10g02670	predicted protein
Bathy10g02680	unknown protein
Bathy10g02690	unknown protein
Bathy10g02700	predicted protein
Bathy10g02710	predicted protein
Bathy10g02720	putative glycosyltransferase
Bathy10g02730	phage shock protein A, PspA
Bathy10g02740	predicted protein
Bathy10g02750	deetiolated 1-like protein
Bathy10g02760	predicted protein
Bathy10g02770	Cof-like hydrolase
Bathy10g02780	unknown protein
Bathy10g02790	unknown protein
Bathy10g02800	predicted protein
Bathy10g02810	predicted protein
Bathy10g02820	predicted protein
Bathy10g02830	unknown protein
Bathy10g02840	unknown protein
Bathy10g02850	predicted protein
Bathy10g02860	hypothetical protein DICPUDRAFT_87341
Bathy10g02870	predicted protein
Bathy10g02880	predicted protein
Bathy10g02890	predicted protein
Bathy10g02900	predicted protein
Bathy10g02910	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy10g02920	predicted protein
Bathy10g02930	methionine sulfoxide reductase A
Bathy10g02940	predicted protein
Bathy10g02950	predicted protein
Bathy10g02960	predicted protein
Bathy10g02970	unknown protein
Bathy10g02980	COMM domain-containing protein, putative
Bathy10g02990	unknown protein
Bathy10g03000	unknown protein
Bathy10g03010	MOF
Bathy10g03020	predicted protein
Bathy10g03030	predicted protein
Bathy10g03040	predicted protein
Bathy10g03050	putative exo-alpha-sialidase
Bathy10g03060	unknown protein
Bathy10g03070	unknown protein
Bathy10g03080	unknown protein
Bathy10g03090	predicted protein
Bathy10g03100	predicted protein
Bathy10g03110	predicted protein
Bathy10g03120	predicted protein
Bathy10g03130	predicted protein
Bathy10g03140	predicted protein
Bathy10g03150	methyltransferase-like protein 14
Bathy10g03160	predicted protein
Bathy10g03170	predicted protein
Bathy10g03180	predicted protein
Bathy10g03190	predicted protein
Bathy10g03200	Glycosylphosphatidylinositol anchor attachment protein GAA1 (ISS)
Bathy10g03210	predicted protein
Bathy10g03220	predicted protein
Bathy10g03230	predicted protein
Bathy10g03240	unknown protein
Bathy10g03250	predicted protein
Bathy10g03260	predicted protein
Bathy10g03270	unknown protein
Bathy10g03280	unknown protein
Bathy10g03290	prefoldin subunit 2
Bathy10g03300	predicted protein
Bathy10g03310	predicted protein
Bathy10g03320	putative toxin-antitoxin system, toxin component
Bathy10g03330	glutamate 5-kinase
Bathy10g03340	Snf2 family protein
Bathy10g03350	predicted protein
Bathy10g03360	predicted protein
Bathy10g03370	predicted protein
Bathy10g03380	predicted protein
Bathy10g03390	putative periplasmic protease
Bathy10g03400	pseudouridylate synthase 7 homolog
Bathy10g03410	predicted protein
Bathy10g03420	predicted protein
Bathy10g03430	sialyltransferase-like protein
Bathy10g03440	predicted protein
Bathy10g03450	cupin 4 family protein
Bathy10g03460	predicted protein
Bathy10g03470	predicted protein
Bathy10g03480	predicted protein
Bathy10g03490	cystathionine gamma-synthase
Bathy10g03500	predicted protein
Bathy10g03510	predicted protein
Bathy10g03520	translation initiation factor IF-2
Bathy10g03530	predicted protein
Bathy10g03540	TP53RK-binding protein
Bathy10g03550	3-demethylubiquinone-9 3-methyltransferase
Bathy10g03560	unknown protein
Bathy10g03570	predicted protein
Bathy10g03580	dimethyladenosine transferase
Bathy10g03590	alpha-1,4-galactosyltransferase
Bathy10g03600	predicted protein
Bathy10g03610	predicted protein
Bathy10g03620	predicted protein
Bathy10g03630	predicted protein
Bathy10g03640	predicted protein
Bathy10g03650	predicted protein
Bathy10g03660	pyruvate phosphate dikinase
Bathy10g03670	aspartate ammonia-lyase
Bathy10g03680	predicted protein
Bathy10g03690	predicted protein
Bathy10g03700	predicted protein
Bathy10g03710	predicted protein
Bathy10g03720	predicted protein
Bathy10g03730	MEKHLA domain protein
Bathy10g03740	predicted protein
Bathy10g03750	Predicted MYND Zn-finger protein/hormone receptor interactor (ISS)
Bathy10g03760	unknown protein
Bathy10g03770	predicted protein
Bathy10g03780	predicted protein
Bathy10g03790	predicted protein
Bathy10g03800	sialyltransferase-like protein
Bathy10g03810	hypothetical protein
Bathy10g03820	predicted protein
Bathy10g03830	predicted protein
Bathy10g03840	unknown protein
Bathy10g03850	predicted protein
Bathy10g03860	predicted protein
Bathy10g03870	predicted protein
Bathy10g03880	glutathione peroxidase
Bathy10g03890	predicted protein
Bathy10g03900	predicted protein
Bathy10g03910	predicted protein
Bathy10g03920	predicted protein
Bathy10g03930	chaperone protein DnaJ
Bathy10g03940	predicted protein
Bathy10g03950	unnamed protein product
Bathy10g03960	predicted protein
Bathy10g03970	predicted protein
Bathy10g03980	predicted protein
Bathy10g03990	unknown protein
Bathy10g04000	predicted protein
Bathy10g04010	predicted protein
Bathy10g04020	histone deacetylase
Bathy10g04030	predicted protein
Bathy10g04040	predicted protein
Bathy10g04045	predicted protein
Bathy10g04050	predicted protein
Bathy10g04060	asparagine-linked glycosylation protein 11 homolog
Bathy10g04070	predicted protein
Bathy10g04080	unnamed protein product
Bathy10g04090	26S proteasome non-ATPase regulatory subunit 8
