"Gene" "Common ID or description"
"4687" "ostta09g03800" "Rab-GTPase-TBC domain                 "
"4688" "ostta09g03810" "Ribonucleoprotein LSM domain, eukaryotic/archaea-type               "
"4689" "ostta09g03820" "HSP20-like chaperone                 "
"4690" "ostta09g03830" "Armadillo-type fold                 "
"4691" "ostta09g03840" "SEP domain                 "
"4692" "ostta09g03850" "GYF                  "
"4693" "ostta09g03860" "tRNA threonylcarbamoyl adenosine modification protein TsaE             "
"4694" "ostta09g03870" "Heat shock protein 70 family              "
"4695" "ostta09g03880" "Helicase, C-terminal                 "
"4696" "ostta09g03890" "Serine/threonine- / dual specificity protein kinase, catalytic  domain          "
"4697" "ostta09g03900" "PWWP domain                 "
"4698" "ostta09g03910" "Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1             "
"4699" "ostta09g03920" "Acyl-CoA N-acyltransferase                 "
"4700" "ostta09g03930" "Rubisco LS methyltransferase, substrate-binding domain              "
"4701" "ostta09g03940" "Ubiquitin-conjugating enzyme, E2                "
"4702" "ostta09g03950" "Small GTPase superfamily, Rho type              "
"4703" "ostta09g03960" "tRNA/rRNA methyltransferase, SpoU                "
"4704" "ostta09g03970" "unnamed product                 "
"4705" "ostta09g03980" "Protein of unknown function DUF288              "
"4706" "ostta09g03990" "Glucose-6-phosphate 1-epimerase                 "
"4707" "ostta09g04000" "DNA-directed RNA polymerase, phage-type               "
"4708" "ostta09g04010" "Ribosomal protein L2 domain 2              "
"4709" "ostta09g04020" "Bud13                  "
"4710" "ostta09g04030" "Plastid lipid-associated protein/fibrillin conserved domain              "
"4711" "ostta09g04040" "Triose-phosphate transporter domain                "
"4712" "ostta09g04050" "Mitogen-activated protein MAP kinase, conserved site             "
"4713" "ostta09g04060" "unnamed product                 "
"4714" "ostta09g04070" "Transmembrane protein 6/97                "
"4715" "ostta09g04080" "WD40/YVTN repeat-like-containing domain                "
"4716" "ostta09g04090" "Alpha-ketoglutarate-dependent dioxygenase AlkB-like                "
"4717" "ostta09g04100" "Syntaxin 6 N-terminal                "
"4718" "ostta09g04110" "Biotin/lipoate A/B protein ligase               "
"4719" "ostta09g04120" "unnamed product                 "
"4720" "ostta09g04130" "unnamed product                 "
"4721" "ostta09g04140" "unnamed product                 "
"4722" "ostta09g04150" "P-loop containing nucleoside triphosphate hydrolase              "
"4723" "ostta09g04160" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"4724" "ostta09g04170" "Carbohydrate kinase PfkB                "
"4725" "ostta09g04180" "ENTH/VHS                  "
"4726" "ostta09g04185" "hypothetical protein                 "
"4727" "ostta09g04190" "Serine/threonine-protein kinase, active site               "
"4728" "ostta09g04200" "Acyl-CoA N-acyltransferase                 "
"4729" "ostta09g04210" "Pleckstrin homology-like domain                "
"4730" "ostta09g04220" "CRC domain n/a  CRC domain             "
"4731" "ostta09g04230" "unnamed product                 "
"4732" "ostta09g04240" "Blue type 1 copper protein              "
"4733" "ostta09g04250" "Ribonuclease II/R                 "
"4734" "ostta09g04260" "Replication factor Mcm10                "
"4735" "ostta09g04270" "Tetratricopeptide repeat                 "
"4736" "ostta09g04280" "DNA-directed DNA polymerase X               "
"4737" "ostta09g04290" "unnamed product                 "
"4738" "ostta09g04300" "unnamed product                 "
"4739" "ostta09g04310" "unnamed product                 "
"4740" "ostta09g04315" "hypothetical protein                 "
"4741" "ostta09g04320" "unnamed product                 "
"4742" "ostta09g04330" "unnamed product                 "
"4743" "ostta09g04340" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal              "
"4744" "ostta09g04350" "Transcription initiation factor TFIID subunit 1 domain of unknown function         "
"4745" "ostta09g04360" "Histidine triad HIT protein               "
"4746" "ostta09g04370" "unnamed product                 "
"4747" "ostta09g04380" "mRNA guanine-N7-methyltransferase                 "
"4748" "ostta09g04390" "P-loop containing nucleoside triphosphate hydrolase              "
"4749" "ostta09g04400" "Heat shock protein DnaJ, cysteine-rich domain             "
"4750" "ostta09g04410" "Flavodoxin/nitric oxide synthase                "
"4751" "ostta09g04420" "Chlorophyll A-B binding protein, plant              "
"4752" "ostta09g04430" "DNA cytosine-5-methyltransferase 1 replication foci domain             "
"4753" "ostta09g04440" "Ankyrin repeat                 "
"4754" "ostta09g04450" "Hly-III-related                  "
"4755" "ostta09g04460" "unnamed product                 "
"4756" "ostta09g04470" "Ankyrin repeat                 "
"4757" "ostta09g04480" "Gem-associated protein 2                "
"4758" "ostta09g04490" "Thioredoxin-like fold                 "
"4759" "ostta09g04500" "Meiotic nuclear division protein 1              "
"4760" "ostta09g04510" "unnamed product                 "
"4761" "ostta09g04520" "unnamed product                 "
"4762" "ostta09g04530" "Ankyrin repeat-containing domain                "
"4763" "ostta10g00010" "Suppressor of forked                "
"4764" "ostta10g00020" "Armadillo-type fold                 "
"4765" "ostta10g00030" "Alpha/beta hydrolase fold-3                "
"4766" "ostta10g00040" "Cwf19-like protein, C-terminal domain-2               "
"4767" "ostta10g00050" "NADP-dependent oxidoreductase domain                "
"4768" "ostta10g00060" "unnamed product                 "
"4769" "ostta10g00070" "Target SNARE coiled-coil domain               "
"4770" "ostta10g00080" "Helicase, C-terminal                 "
"4771" "ostta10g00090" "Nucleolar protein 14                "
"4772" "ostta10g00100" "Aminoacyl-tRNA synthetase, class 1a, anticodon-binding              "
"4773" "ostta10g00110" "NIF system FeS cluster assembly, NifU, C-terminal            "
"4774" "ostta10g00120" "Endoplasmic reticulum vesicle transporter, C-terminal              "
"4775" "ostta10g00130" "FAS1 domain n/a  FAS1 domain n/a  FAS1 domain         "
"4776" "ostta10g00140" "Armadillo-type fold                 "
"4777" "ostta10g00150" "Helicase, C-terminal                 "
"4778" "ostta10g00160" "Metallopeptidase, catalytic domain                "
"4779" "ostta10g00170" "Hypoxia-inducible factor 1-alpha inhibitor               "
"4780" "ostta10g00180" "JmjC domain                 "
"4781" "ostta10g00190" "Zinc finger, RING-CH-type                "
"4782" "ostta10g00200" "Thioredoxin-like fold                 "
"4783" "ostta10g00210" "unnamed product                 "
"4784" "ostta10g00220" "G-protein beta WD-40 repeat               "
"4785" "ostta10g00230" "Heat shock protein DnaJ, cysteine-rich domain             "
"4786" "ostta10g00240" "unnamed product                 "
"4787" "ostta10g00250" "Translation initiation factor 3               "
"4788" "ostta10g00260" "Glycosyl hydrolase, family 13 catalytic domain             "
"4789" "ostta10g00270" "Bromodomain                  "
"4790" "ostta10g00280" "Ribosomal protein L28/L40, mitochondrial               "
"4791" "ostta10g00290" "Sulphate adenylyltransferase                 "
"4792" "ostta10g00300" "Chaperonin Cpn60                 "
"4793" "ostta10g00310" "DNA primase, UL52/UL70 type, Herpesviridae              "
"4794" "ostta10g00320" "Helicase, C-terminal                 "
"4795" "ostta10g00330" "Protein of unknown function DUF1138              "
"4796" "ostta10g00340" "DNA replication factor Dna2, N-terminal              "
"4797" "ostta10g00350" "Glycosyl transferase, family 28 C-terminal              "
"4798" "ostta10g00360" "Endonuclease/exonuclease/phosphatase                  "
"4799" "ostta10g00370" "Mycolic acid cyclopropane synthase               "
"4800" "ostta10g00380" "GTP-binding protein, ribosome biogenesis, YsxC              "
"4801" "ostta10g00390" "Pleckstrin homology-like domain                "
"4802" "ostta10g00400" "Domain of unknown function CP12              "
"4803" "ostta10g00410" "tRNA guanine-N1--methyltransferase, eukaryotic                "
"4804" "ostta10g00420" "Histidine kinase-like ATPase, ATP-binding domain              "
"4805" "ostta10g00430" "Transcription elongation factor S-II, central domain             "
"4806" "ostta10g00440" "Forkhead-associated FHA domain                "
"4807" "ostta10g00450" "EF-Hand 1 calcium-binding site               "
"4808" "ostta10g00500" "Carbohydrate binding module family 20              "
"4809" "ostta10g00510" "THO complex, subunit 5               "
"4810" "ostta10g00520" "Ribosome biogenesis GTPase RsgA, putative              "
"4811" "ostta10g00530" "Mitochondrial substrate/solute carrier                "
"4812" "ostta10g00540" "P-loop containing nucleoside triphosphate hydrolase              "
"4813" "ostta10g00545" "Thioredoxin-like fold                 "
"4814" "ostta10g00550" "Twin-arginine translocation pathway, signal sequence              "
"4815" "ostta10g00560" "Nucleotide-binding, alpha-beta plait                "
"4816" "ostta10g00565" "Nucleotide-binding, alpha-beta plait                "
"4817" "ostta10g00570" "Nicotinamide N-methyltransferase-like                 "
"4818" "ostta10g00580" "Biotin synthase/Biotin biosynthesis bifunctional protein BioAB             "
"4819" "ostta10g00590" "unnamed product                 "
"4820" "ostta10g00600" "DNA methylase, N-6 adenine-specific, conserved site             "
"4821" "ostta10g00610" "HSP20-like chaperone                 "
"4822" "ostta10g00620" "unnamed product                 "
"4823" "ostta10g00630" "MIT                  "
"4824" "ostta10g00640" "DNA ligase, ATP-dependent, conserved site              "
"4825" "ostta10g00650" "DNA-repair protein, UmuC-like, N-terminal               "
"4826" "ostta10g00660" "Protein of unknown function DUF2505              "
"4827" "ostta10g00670" "Serine/threonine-protein kinase, active site               "
"4828" "ostta10g00680" "P-loop containing nucleoside triphosphate hydrolase              "
"4829" "ostta10g00690" "NADP-dependent oxidoreductase domain                "
"4830" "ostta10g00700" "unnamed product                 "
"4831" "ostta10g00710" "Prenylated rab acceptor PRA1               "
"4832" "ostta10g00720" "unnamed product                 "
"4833" "ostta10g00730" "Alpha-ketoglutarate-dependent dioxygenase AlkB-like                "
"4834" "ostta10g00740" "2-oxoacid dehydrogenase acyltransferase, catalytic domain              "
"4835" "ostta10g00750" "unnamed product                 "
"4836" "ostta10g00760" "NUDIX hydrolase domain-like                "
"4837" "ostta10g00770" "Aminotransferase, class-II, pyridoxal-phosphate binding site              "
"4838" "ostta10g00780" "Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6, conserved site             "
"4839" "ostta10g00790" "Major facilitator superfamily domain, general substrate transporter            "
"4840" "ostta10g00800" "Coiled-coil domain containing protein 109 C-terminal             "
"4841" "ostta10g00810" "G-protein beta WD-40 repeat               "
"4842" "ostta10g00820" "Phosphatidic acid phosphatase type 2/haloperoxidase              "
"4843" "ostta10g00830" "ATPase, V1 complex, subunit B              "
"4844" "ostta10g00840" "Ubiquitin supergroup                 "
"4845" "ostta10g00850" "NUDIX hydrolase domain-like                "
"4846" "ostta10g00860" "Zinc finger, DHHC-type, palmitoyltransferase               "
"4847" "ostta10g00870" "Glycosyltransferase, DXD sugar-binding motif               "
"4848" "ostta10g00880" "unnamed product                 "
"4849" "ostta10g00890" "unnamed product                 "
"4850" "ostta10g00900" "unnamed product                 "
"4851" "ostta10g00910" "Formate/nitrite transporter                 "
"4852" "ostta10g00920" "Moybdenum cofactor oxidoreductase, dimerisation               "
"4853" "ostta10g00930" "Riboflavin synthase-like beta-barrel                "
"4854" "ostta10g00940" "unnamed product                 "
"4855" "ostta10g00950" "Major facilitator superfamily domain, general substrate transporter            "
"4856" "ostta10g00960" "Sulphate transporter                 "
"4857" "ostta10g00970" "MoaA/nifB/pqqE, iron-sulphur binding, conserved site              "
"4858" "ostta10g00980" "unnamed product                 "
"4859" "ostta10g00990" "MoeZ/MoeB                  "
"4860" "ostta10g01000" "Cytochrome b5-like heme/steroid binding domain              "
"4861" "ostta10g01010" "unnamed product                 "
"4862" "ostta10g01020" "Serine/threonine- / dual specificity protein kinase, catalytic  domain          "
