Gene ID	GO	KO	PFAM
ME000659S08976	ME000659S08976	<a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12820" target="_blank">K12820</a>	<a href="http://pfam.xfam.org/family/PF04408" target="_blank">PF04408</a> <a href="http://pfam.xfam.org/family/PF07717" target="_blank">PF07717</a> <a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a> <a href="http://pfam.xfam.org/family/PF00270" target="_blank">PF00270</a> <a href="http://pfam.xfam.org/family/PF13401" target="_blank">PF13401</a> <a href="http://pfam.xfam.org/family/PF13245" target="_blank">PF13245</a> <a href="http://pfam.xfam.org/family/PF02562" target="_blank">PF02562</a>
ME000659S08978	ME000659S08978	<a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00026" target="_blank">K00026</a>	<a href="http://pfam.xfam.org/family/PF02866" target="_blank">PF02866</a> <a href="http://pfam.xfam.org/family/PF00056" target="_blank">PF00056</a>
ME000659S08982	ME000659S08982	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">DNA-directed 5'-3' RNA polymerase activity (GO:0003899)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">transcription, DNA-templated (GO:0006351)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03007" target="_blank">K03007</a>	<a href="http://pfam.xfam.org/family/PF01194" target="_blank">PF01194</a>
ME000659S08985	ME000659S08985	<a href="http://amigo.geneontology.org/amigo/term/GO:0008324" target="_blank">cation transmembrane transporter activity (GO:0008324)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006812" target="_blank">cation transport (GO:0006812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14696" target="_blank">K14696</a>	<a href="http://pfam.xfam.org/family/PF01545" target="_blank">PF01545</a>
ME000659S08986	ME000659S08986	<a href="http://amigo.geneontology.org/amigo/term/GO:0008373" target="_blank">sialyltransferase activity (GO:0008373)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006486" target="_blank">protein glycosylation (GO:0006486)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00777" target="_blank">PF00777</a>
ME000659S08987	ME000659S08987	<a href="http://amigo.geneontology.org/amigo/term/GO:0045300" target="_blank">acyl-[acyl-carrier-protein] desaturase activity (GO:0045300)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006631" target="_blank">fatty acid metabolic process (GO:0006631)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03921" target="_blank">K03921</a>	<a href="http://pfam.xfam.org/family/PF03405" target="_blank">PF03405</a>
ME000659S08989	ME000659S08989	<a href="http://amigo.geneontology.org/amigo/term/GO:0004474" target="_blank">malate synthase activity (GO:0004474)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006097" target="_blank">glyoxylate cycle (GO:0006097)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01638" target="_blank">K01638</a>	<a href="http://pfam.xfam.org/family/PF01274" target="_blank">PF01274</a>
ME000659S08991	ME000659S08991	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01510" target="_blank">K01510</a>	<a href="http://pfam.xfam.org/family/PF01150" target="_blank">PF01150</a>
ME000659S08993	ME000659S08993	<a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a>
ME000046S07717	ME000046S07717	<a href="http://amigo.geneontology.org/amigo/term/GO:0008138" target="_blank">protein tyrosine/serine/threonine phosphatase activity (GO:0008138)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016311" target="_blank">dephosphorylation (GO:0016311)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF16561" target="_blank">PF16561</a> <a href="http://pfam.xfam.org/family/PF00782" target="_blank">PF00782</a>
ME000046S07718	ME000046S07718	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF14226" target="_blank">PF14226</a> <a href="http://pfam.xfam.org/family/PF03171" target="_blank">PF03171</a>
ME000046S07721	ME000046S07721	<a href="http://amigo.geneontology.org/amigo/term/GO:0008237" target="_blank">metallopeptidase activity (GO:0008237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01256" target="_blank">K01256</a>	<a href="http://pfam.xfam.org/family/PF17432" target="_blank">PF17432</a> <a href="http://pfam.xfam.org/family/PF01433" target="_blank">PF01433</a> <a href="http://pfam.xfam.org/family/PF11940" target="_blank">PF11940</a> <a href="http://pfam.xfam.org/family/PF17900" target="_blank">PF17900</a>
ME000046S07723	ME000046S07723	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02358" target="_blank">K02358</a>	<a href="http://pfam.xfam.org/family/PF00009" target="_blank">PF00009</a> <a href="http://pfam.xfam.org/family/PF03143" target="_blank">PF03143</a> <a href="http://pfam.xfam.org/family/PF03144" target="_blank">PF03144</a>
ME000225S03386	ME000225S03386	<a href="http://amigo.geneontology.org/amigo/term/GO:0004590" target="_blank">orotidine-5'-phosphate decarboxylase activity (GO:0004590)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006207" target="_blank">'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009116" target="_blank">nucleoside metabolic process (GO:0009116)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13421" target="_blank">K13421</a>	<a href="http://pfam.xfam.org/family/PF00215" target="_blank">PF00215</a> <a href="http://pfam.xfam.org/family/PF00156" target="_blank">PF00156</a>
ME000225S03387	ME000225S03387	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13417" target="_blank">PF13417</a> <a href="http://pfam.xfam.org/family/PF13409" target="_blank">PF13409</a>
ME000225S03388	ME000225S03388	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13095" target="_blank">K13095</a>	<a href="http://pfam.xfam.org/family/PF16275" target="_blank">PF16275</a> <a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a> <a href="http://pfam.xfam.org/family/PF00013" target="_blank">PF00013</a> <a href="http://pfam.xfam.org/family/PF00098" target="_blank">PF00098</a>
ME000225S03390	ME000225S03390	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16547" target="_blank">K16547</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000225S03391	ME000225S03391	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00620" target="_blank">PF00620</a> <a href="http://pfam.xfam.org/family/PF00786" target="_blank">PF00786</a>
ME000225S03395	ME000225S03395	<a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00067" target="_blank">PF00067</a>
ME000225S03399	ME000225S03399	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a>
ME000225S03402	ME000225S03402	<a href="http://amigo.geneontology.org/amigo/term/GO:0006334" target="_blank">nucleosome assembly (GO:0006334)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11279" target="_blank">K11279</a>	<a href="http://pfam.xfam.org/family/PF00956" target="_blank">PF00956</a>
ME000225S03403	ME000225S03403	<a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">nucleotidyltransferase activity (GO:0016779)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01909" target="_blank">PF01909</a>
ME000225S03406	ME000225S03406	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a>
ME000225S03407	ME000225S03407	<a href="http://amigo.geneontology.org/amigo/term/GO:0004055" target="_blank">argininosuccinate synthase activity (GO:0004055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006526" target="_blank">arginine biosynthetic process (GO:0006526)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01940" target="_blank">K01940</a>	<a href="http://pfam.xfam.org/family/PF00764" target="_blank">PF00764</a>
ME000225S03408	ME000225S03408	<a href="http://amigo.geneontology.org/amigo/term/GO:0051539" target="_blank">4 iron, 4 sulfur cluster binding (GO:0051539)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006777" target="_blank">Mo-molybdopterin cofactor biosynthetic process (GO:0006777)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019008" target="_blank">molybdopterin synthase complex (GO:0019008)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051536" target="_blank">iron-sulfur cluster binding (GO:0051536)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03639" target="_blank">K03639</a>	<a href="http://pfam.xfam.org/family/PF06463" target="_blank">PF06463</a> <a href="http://pfam.xfam.org/family/PF04055" target="_blank">PF04055</a> <a href="http://pfam.xfam.org/family/PF13353" target="_blank">PF13353</a>
ME000225S03409	ME000225S03409	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000225S03415	ME000225S03415	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13855" target="_blank">PF13855</a> <a href="http://pfam.xfam.org/family/PF12799" target="_blank">PF12799</a> <a href="http://pfam.xfam.org/family/PF00560" target="_blank">PF00560</a>
ME000225S03416	ME000225S03416	<a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00639" target="_blank">K00639</a>	<a href="http://pfam.xfam.org/family/PF00155" target="_blank">PF00155</a>
ME000225S03417	ME000225S03417	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF13855" target="_blank">PF13855</a>
ME000225S03418	ME000225S03418	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10848" target="_blank">K10848</a>	<a href="http://pfam.xfam.org/family/PF02732" target="_blank">PF02732</a>
ME000225S03419	ME000225S03419	<a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00082" target="_blank">PF00082</a> <a href="http://pfam.xfam.org/family/PF05922" target="_blank">PF05922</a>
