Gene ID	GO	KO
kfl00128_0180	kfl00128_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14684" target="_blank">K14684</a>
kfl00128_0200	kfl00128_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00128_0210	kfl00128_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16478" target="_blank">K16478</a>
kfl00128_0240	kfl00128_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0016791" target="_blank">phosphatase activity (GO:0016791)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17619" target="_blank">K17619</a>
kfl00128_0250	kfl00128_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0051726" target="_blank">regulation of cell cycle (GO:0051726)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000079" target="_blank">regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019901" target="_blank">protein kinase binding (GO:0019901)</a>	
kfl00128_0280	kfl00128_0280	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00129_0010	kfl00129_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00129_0020	kfl00129_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00129_0030	kfl00129_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	
kfl00129_0040	kfl00129_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00129_0060	kfl00129_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16482" target="_blank">K16482</a>
kfl00129_0070	kfl00129_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003995" target="_blank">acyl-CoA dehydrogenase activity (GO:0003995)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016627" target="_blank">oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)</a>	
kfl00129_0080	kfl00129_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00129_0110	kfl00129_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016746" target="_blank">transferase activity, transferring acyl groups (GO:0016746)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13513" target="_blank">K13513</a>
kfl00129_0130	kfl00129_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10581" target="_blank">K10581</a>
kfl00129_0140	kfl00129_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00129_0190	kfl00129_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0009396" target="_blank">folic acid-containing compound biosynthetic process (GO:0009396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004329" target="_blank">formate-tetrahydrofolate ligase activity (GO:0004329)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01938" target="_blank">K01938</a>
kfl00129_0220	kfl00129_0220	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00129_0230	kfl00129_0230	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046914" target="_blank">transition metal ion binding (GO:0046914)</a>	
kfl00129_0240	kfl00129_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004806" target="_blank">triglyceride lipase activity (GO:0004806)</a>	
kfl00129_0250	kfl00129_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016272" target="_blank">prefoldin complex (GO:0016272)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09548" target="_blank">K09548</a>
kfl00129_0260	kfl00129_0260	<a href="http://amigo.geneontology.org/amigo/term/GO:0009073" target="_blank">aromatic amino acid family biosynthetic process (GO:0009073)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046417" target="_blank">chorismate metabolic process (GO:0046417)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004106" target="_blank">chorismate mutase activity (GO:0004106)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01850" target="_blank">K01850</a>
kfl00129_0270	kfl00129_0270	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00130_0010	kfl00130_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006465" target="_blank">signal peptide processing (GO:0006465)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008233" target="_blank">peptidase activity (GO:0008233)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04773" target="_blank">K04773</a>
kfl00130_0020	kfl00130_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008146" target="_blank">sulfotransferase activity (GO:0008146)</a>	
kfl00130_0040	kfl00130_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00130_0050	kfl00130_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016817" target="_blank">hydrolase activity, acting on acid anhydrides (GO:0016817)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11665" target="_blank">K11665</a>
kfl00130_0060	kfl00130_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016747" target="_blank">transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00130_0070	kfl00130_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016747" target="_blank">transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00130_0090	kfl00130_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0006424" target="_blank">glutamyl-tRNA aminoacylation (GO:0006424)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043039" target="_blank">tRNA aminoacylation (GO:0043039)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004818" target="_blank">glutamate-tRNA ligase activity (GO:0004818)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01885" target="_blank">K01885</a>
kfl00130_0100	kfl00130_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13348" target="_blank">K13348</a>
kfl00130_0110	kfl00130_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	
kfl00130_0120	kfl00130_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
kfl00130_0130	kfl00130_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016855" target="_blank">racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10756" target="_blank">K10756</a>
kfl00130_0140	kfl00130_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0016311" target="_blank">dephosphorylation (GO:0016311)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016791" target="_blank">phosphatase activity (GO:0016791)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004725" target="_blank">protein tyrosine phosphatase activity (GO:0004725)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18045" target="_blank">K18045</a>
kfl00130_0160	kfl00130_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00130_0170	kfl00130_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13448" target="_blank">K13448</a>
kfl00130_0180	kfl00130_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0005783" target="_blank">endoplasmic reticulum (GO:0005783)</a>	
kfl00130_0190	kfl00130_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0006388" target="_blank">tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000213" target="_blank">tRNA-intron endonuclease activity (GO:0000213)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15322" target="_blank">K15322</a>
kfl00130_0200	kfl00130_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00130_0230	kfl00130_0230	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00130_0240	kfl00130_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030976" target="_blank">thiamine pyrophosphate binding (GO:0030976)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016740" target="_blank">transferase activity (GO:0016740)</a>	
kfl00130_0250	kfl00130_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09338" target="_blank">K09338</a>
