Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre09.g394550.t1.2	Ribose-phosphate pyrophosphokinase (RPPK) = phosphoribosylpyrophosphate synthetase (P-Rib-PP synthetase) (PRPP synthetase); normally a highly regulated enzyme; PRPP is an essential precursor for purines and for histidine
Cre09.g394584.t1.1	Probable methyltransferase activity; related to glucose inhibited division protein	Probable methyltransferase activity; related to glucose inhibited division protein
Cre09.g394658.t1.1	Contains Aldo/keto reductase family (pfam00248.12). This family includes a number of K+ ion channel beta chain regulatory domains - these are reported to have oxidoreductase activity. Low-CO2 inducible gene revealed by cDNA array analyses. Acclimation to 	Contains Aldo/keto reductase family (pfam00248.12). This family includes a number of K+ ion channel beta chain regulatory domains - these are reported to have oxidoreductase activity. Low-CO2 inducible gene revealed by cDNA array analyses. Acclimation to 
Cre09.g394732.t1.1	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre09.g394750.t1.2	Chloroplast Ribosomal Protein S1, imported to chloroplast; Chloroplast Small Ribosomal Subunit Protein S1.  This is a polyribonucleotide nucleotidyltransferase (see PNK series)
Cre09.g394800.t1.1	Possible ADP,ATP carrier protein.  Previously annotated as MITC16
Cre09.g394850.t1.2	LrgB-like protein, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]
Cre09.g395100.t1.2	Dual-specificity protein phosphatase.  Previously annotated as MPK4
Cre09.g395150.t1.2	Dual-specificity protein phosphatase.  Previously annotated as MKP3
Cre09.g395250.t1.1	Alanine rich protein, found in flagellar proteome [PMID: 15998802]; MOT5; identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre09.g395288.t1.1	Sodium:hydrogen antiporter NhaD.  Previously annotated as NHAD1	Sodium:hydrogen antiporter NhaD.  Previously annotated as NHAD1
Cre09.g395350.t1.1	Putative mitochondrial ATP synthase associated protein 9; found in mitochondrial membrane proteome (ObsMass=998 kDa) and in soluble fraction (< 25kDa) by Atteia et al; appears resistant to NaOH and NaCl extraction; N-terminal Met removed, N-terminally ace
Cre09.g395806.t1.1	Putative zeaxanthin epoxidase.  This overlaps with FAP177 gene model from v3	Putative zeaxanthin epoxidase.  This overlaps with FAP177 gene model from v3
Cre09.g395950.t1.2	Alternative oxidase, mitochondrial precursor see gi|9027543|gb|AAC05743.2|[9027543], [PMID: 11405094]
Cre09.g396000.t1.2	High affinity nitrite transporter and low affinity nitrate transporter (system III).  Previously annotated as NAR5 [PMID: 11289304]
Cre09.g396065.t1.1	Aurora-like kinase	Aurora-like kinase
Cre09.g396100.t1.2	Pherophorin-C15 (PHC15) [PMID: 16367971]; partial sequence similar to extracellular matrix protein (cell wall protein) pherophorin-C2 [Genbank entry DQ196108], which belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxy
Cre09.g396213.t1.1	Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1); 33 kDa subunit of oxygen evolving complex of photosystem II [PMID: 3556163, GI:18160].  The mutant fud44 mutant has a TOC1 (Transposon Of Chlamydomonas) atypical long-terminal repeat (LTR) 	Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1); 33 kDa subunit of oxygen evolving complex of photosystem II [PMID: 3556163, GI:18160].  The mutant fud44 mutant has a TOC1 (Transposon Of Chlamydomonas) atypical long-terminal repeat (LTR) 
Cre09.g396250.t1.2	Phosphatidate cytidylyltransferase.  Related to VTE5 in Arabidopsis (PMID: 16361393).  Phytol kinase-related protein
Cre09.g396252.t1.1	Glutathione reductase (GR) (Grase).  Previously annotated as GSHR2	Glutathione reductase (GR) (Grase).  Previously annotated as GSHR2
Cre09.g396300.t1.2	Protoporphyrinogen oxidase, chloroplast precursor (PPO I) [GI:3928794; PMID: 9862501; PMID: 16306143]; Protoporphyrinogen IX oxidase isozyme I (PPX I); similar to Bacillus subtilis HEMY type protoporphyrinogen oxidase; [PMID: 1459957, PMID: 7928957].  Pre
Cre09.g396350.t1.2	Mitochondrial substrate carrier protein.  Previously annotated as MITC3
Cre09.g396363.t1.1	TIM14, subunit of the presequence translocase-associated protein import complex (TIM23), which drives the completion of protein transport into the mitochondrial matrix. Also named PAM18	TIM14, subunit of the presequence translocase-associated protein import complex (TIM23), which drives the completion of protein transport into the mitochondrial matrix. Also named PAM18
Cre09.g396400.t1.2	Post-translationally modifies protein to tag them for proteasome-mediated degradation, internalization etc..; contains two ubiquitin domains in tandem
Cre09.g396401.t1.1	Siroheme synthase [Includes: Uroporphyrin-III C-methyltransferase (Urogen III methylase) (SUMT) Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase; Sirohydrochlorin ferrochelatase]; formerly SUMT1--renamed UPM1 by the advice of Sam Beale.  	Siroheme synthase [Includes: Uroporphyrin-III C-methyltransferase (Urogen III methylase) (SUMT) Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase; Sirohydrochlorin ferrochelatase]; formerly SUMT1--renamed UPM1 by the advice of Sam Beale.  
Cre09.g396450.t1.1	Acid phosphatase.  Previously annotated as GOX15 as a galactose oxidase, for which there is some structural similarlity
Cre09.g396600.t1.1	Chloroplast Fe-hydrogenase (= HYDA2); corresponds to GI:18026272 [PMID: 12823545]
Cre09.g396650.t1.2	Putative phosphate acetyltransferase (EC 2.3.1.8); phosphotransacetylase; similarity to prokaryotic phosphate acetyltransferase (e.g., Desulfovibrio GenBank AAS97500). Acclimation to changing CO2 concentrations and light intensities was studied by Yamano 
Cre09.g396700.t1.2	Acetate Kinase; Acetokinase; Potential N-terminal organelle targeting sequence
Cre09.g396950.t1.1	Sodium-dependent phosphate transporter, major facilitator superfamily.  Green-lineage conserved expressed protein.  Previously annotated as CGL15
Cre09.g396994.t1.1	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a
Cre09.g397031.t1.1	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an
Cre09.g397068.t1.1	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an
Cre09.g397142.t1.1	Transient potential receptor channel	Transient potential receptor channel
Cre09.g397200.t1.2	T-complex protein 1, zeta subunit (TCP-1-zeta) (CCT-zeta) (TCPF); subunit of cytosolic chaperonin complex
Cre09.g397216.t1.1	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an
Cre09.g397250.t1.2	Delta-9 desaturase, possible stearoyl-CoA 9-desaturase.  Previously annotated as FAD5A
Cre09.g397327.t1.1	ATM/ATR-related hosphatidylinositol 3-kinase.  May be DNA-PKcs, catalytic subunit of a nuclear DNA-dependent serine/threonine protein kinase (DNA-PK). The second component is the autoimmune antigen Ku. On its own, the catalytic subunit of DNA-PK is inacti	ATM/ATR-related hosphatidylinositol 3-kinase.  May be DNA-PKcs, catalytic subunit of a nuclear DNA-dependent serine/threonine protein kinase (DNA-PK). The second component is the autoimmune antigen Ku. On its own, the catalytic subunit of DNA-PK is inacti
Cre09.g397697.t1.1	Cytosolic 80S ribosomal protein L4; Cytosolic 60S large ribosomal subunit protein L4	Cytosolic 80S ribosomal protein L4; Cytosolic 60S large ribosomal subunit protein L4
Cre09.g397734.t1.1	Cytochrome P450, CYP3 superfamily, CYP3A family. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 	Cytochrome P450, CYP3 superfamily, CYP3A family. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 
Cre09.g397956.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g397993.t1.1	Similar to Flagellar Associated Protein FAP201 that is found in the flagellar proteome [PMID: 15998802].  This gene models overlaps with FAP201 from v3
Cre09.g397993.t2.1	Similar to Flagellar Associated Protein FAP201 that is found in the flagellar proteome [PMID: 15998802].  This gene models overlaps with FAP201 from v3
Cre09.g398067.t1.1	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase); possibly cytosolic (by homology to :At3g25230 = FKBP62); contains probably 3 FKBP domains and C-terminal TPR repeats [PMID: 15701785]	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase); possibly cytosolic (by homology to :At3g25230 = FKBP62); contains probably 3 FKBP domains and C-terminal TPR repeats [PMID: 15701785]
Cre09.g398150.t1.1	Haloacid dehalogenase-like hydrolase required for the presence of eyespots.  Mutation results in eyespots being absent.  Previously annotated as Chlamy Eye Absent.
Cre09.g398252.t1.1	Short-chain dehydrogenase/reductase.  Similar to Tic32 from Pisum sativum (AAS38575); belongs to the classical family of short chain dehydrogenases [PMID: 15180984]	Short-chain dehydrogenase/reductase.  Similar to Tic32 from Pisum sativum (AAS38575); belongs to the classical family of short chain dehydrogenases [PMID: 15180984]
Cre09.g398400.t1.2	C-terminal 350 AA similar to transient receptor potential Ca2+ channel, involved in Ca2+ homeostasis, but N-terminal region has no similarity in databases; additional transmembrane helix at pos 1189-1211; member of a family of at least 8 TRP proteins
Cre09.g398700.t1.2	Cyclopropane-fatty-acyl-phospholipid synthase.  Plant-lineage-and-diatoms conserved expressed protein related to putative coclaurine N-methyltransferase; this protein is found in the eyespot proteome.  Previously annotated as CPLD27
Cre09.g398900.t1.1	Vegetative cell wall protein gp1, chaotrope-soluble [PMID: 11258910, Genbank entry AF309494].  Previously annotated as GP1
Cre09.g398993.t1.1	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27); (4HPPD) (HPD) (HPPDase)	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27); (4HPPD) (HPD) (HPPDase)
Cre09.g399030.t1.1	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4HPPD) (HPD) (HPPDase)	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4HPPD) (HPD) (HPPDase)
Cre09.g399178.t1.1	Similar to COP signalosome subunit CSN5	Similar to COP signalosome subunit CSN5
Cre09.g399250.t1.2	Related to a series of bacterial genes among which is a putative Ketosteroid isomerase-related protein of Ralstonia; however, it is impossible to find a similarity with the well-characterized delta5-3-ketosteroid isomerase of Pseudomonas putida or Comamon
Cre09.g399300.t1.2	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably directed to thylakoid lumen (bipartite cTP) but not orthologous to AtFKBP17-1
Cre09.g399350.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g399400.t1.1	Triacylglycerol lipase.  This gene model overlaps a bit with FAP199 (Flagellar Associated Protein) from v3
Cre09.g399400.t2.1	Triacylglycerol lipase.  This gene model overlaps a bit with FAP199 (Flagellar Associated Protein) from v3
Cre09.g399402.t1.1	Cytochrome P450, CYP3 superfamily, CYP3A family.  Previously annotated as CYP768A1	Cytochrome P450, CYP3 superfamily, CYP3A family.  Previously annotated as CYP768A1
Cre09.g399402.t2.1	Cytochrome P450, CYP3 superfamily, CYP3A family.  Previously annotated as CYP768A1
Cre09.g399552.t1.1	Myb-DNA binding transcriptional factor induced under low CO2 stress condition [PMID: 15155888]; regulates CO2-responsive genes, Cah1, Lci1, and Lci6; regulated by CCM1 [PMID: 15235119]	Myb-DNA binding transcriptional factor induced under low CO2 stress condition [PMID: 15155888]; regulates CO2-responsive genes, Cah1, Lci1, and Lci6; regulated by CCM1 [PMID: 15235119]
Cre09.g399663.t1.1	FixL like homolog 7 (FXL). PAS region shows high identity to Rhizobial FixL proteins.	FixL like homolog 7 (FXL). PAS region shows high identity to Rhizobial FixL proteins.
Cre09.g399663.t2.1	FixL like homolog 7 (FXL). PAS region shows high identity to Rhizobial FixL proteins.
Cre09.g399911.t1.1	CDC20 homolog. Activator and specificity subunit for anaphase promoting complex. Subunit 1 of Anaphase Promoting Complex. Cell cycle regulated E3 ubiquitin ligase. Related to fizzy/cdh1 proteins	CDC20 homolog. Activator and specificity subunit for anaphase promoting complex. Subunit 1 of Anaphase Promoting Complex. Cell cycle regulated E3 ubiquitin ligase. Related to fizzy/cdh1 proteins
